timestamp,apartment_id,room,window_open,presence,temperature,humidity,co2,pm25,co,tvoc,temp_ext,humidity_ext
2025-12-30T00:00:00,APT_102,chambre,False,True,18.9,50.1,,16.42,0.79,260.87,5.9,66.8
2025-12-30T00:00:00,APT_102,cuisine,False,True,18.9,50.3,,16.16,0.78,252.64,5.9,66.8
2025-12-30T00:00:00,APT_102,salon,False,True,18.8,50.4,553.0,16.6,0.79,253.45,5.9,66.8
2025-12-30T00:00:00,APT_102,sdb,False,True,18.8,50.7,,15.84,0.79,251.53,5.9,66.8
2025-12-30T00:10:00,APT_102,chambre,False,True,18.7,50.6,,16.91,0.77,271.23,5.7,67.4
2025-12-30T00:10:00,APT_102,cuisine,False,True,18.7,50.2,,17.01,0.77,261.29,5.7,67.4
2025-12-30T00:10:00,APT_102,salon,False,True,18.7,49.8,562.0,17.03,0.8,261.41,5.7,67.4
2025-12-30T00:10:00,APT_102,sdb,False,True,18.7,51.0,,17.12,0.77,261.45,5.7,67.4
2025-12-30T00:20:00,APT_102,chambre,False,True,18.5,50.7,,17.17,0.77,274.97,6.3,63.5
2025-12-30T00:20:00,APT_102,cuisine,False,True,18.6,50.3,,18.23,10.57,271.73,6.3,63.5
2025-12-30T00:20:00,APT_102,salon,False,True,18.6,49.2,568.0,17.38,0.78,268.59,6.3,63.5
2025-12-30T00:20:00,APT_102,sdb,False,True,18.6,50.7,,17.4,0.75,266.53,6.3,63.5
2025-12-30T00:30:00,APT_102,chambre,False,True,18.5,51.1,,17.54,0.77,284.61,6.0,63.5
2025-12-30T00:30:00,APT_102,cuisine,False,True,18.5,50.2,,19.2,10.08,274.74,6.0,63.5
2025-12-30T00:30:00,APT_102,salon,False,True,18.6,48.3,572.0,18.08,0.77,269.98,6.0,63.5
2025-12-30T00:30:00,APT_102,sdb,False,True,18.5,51.1,,17.52,0.73,268.1,6.0,63.5
2025-12-30T00:40:00,APT_102,chambre,False,True,18.3,51.2,,18.75,0.78,289.97,5.9,65.6
2025-12-30T00:40:00,APT_102,cuisine,False,True,18.4,51.2,,20.33,9.6,285.33,5.9,65.6
2025-12-30T00:40:00,APT_102,salon,False,True,18.4,48.3,579.0,18.83,0.75,278.25,5.9,65.6
2025-12-30T00:40:00,APT_102,sdb,False,True,18.5,50.9,,18.17,0.71,277.07,5.9,65.6
2025-12-30T00:50:00,APT_102,chambre,False,True,18.2,51.1,,20.16,0.77,298.56,5.9,65.6
2025-12-30T00:50:00,APT_102,cuisine,False,True,18.2,51.4,,21.44,9.14,289.04,5.9,65.6
2025-12-30T00:50:00,APT_102,salon,False,True,18.2,47.8,586.0,19.7,0.73,282.27,5.9,65.6
2025-12-30T00:50:00,APT_102,sdb,False,True,18.4,50.0,,19.52,0.7,277.88,5.9,65.6
2025-12-30T01:00:00,APT_102,chambre,False,True,18.1,51.3,,20.33,0.77,299.83,6.4,64.8
2025-12-30T01:00:00,APT_102,cuisine,False,True,18.2,52.2,,22.3,8.73,294.42,6.4,64.8
2025-12-30T01:00:00,APT_102,salon,False,True,18.2,47.9,593.0,21.06,0.71,289.55,6.4,64.8
2025-12-30T01:00:00,APT_102,sdb,False,True,18.3,50.6,,20.24,0.7,281.59,6.4,64.8
2025-12-30T01:10:00,APT_102,chambre,False,True,18.1,51.2,,20.66,0.76,307.48,5.9,67.3
2025-12-30T01:10:00,APT_102,cuisine,False,True,18.1,51.6,,22.46,8.33,299.33,5.9,67.3
2025-12-30T01:10:00,APT_102,salon,False,True,18.1,47.2,595.0,21.19,0.71,290.48,5.9,67.3
2025-12-30T01:10:00,APT_102,sdb,False,True,18.2,50.2,,20.6,0.68,291.76,5.9,67.3
2025-12-30T01:20:00,APT_102,chambre,False,True,18.0,51.3,,21.01,0.76,312.88,6.1,66.0
2025-12-30T01:20:00,APT_102,cuisine,False,True,18.1,52.4,,22.59,7.96,309.2,6.1,66.0
2025-12-30T01:20:00,APT_102,salon,False,True,18.0,46.7,603.0,21.31,0.72,292.89,6.1,66.0
2025-12-30T01:20:00,APT_102,sdb,False,True,18.1,50.5,,21.95,0.69,295.99,6.1,66.0
2025-12-30T01:30:00,APT_102,chambre,False,True,18.0,50.8,,22.05,0.74,322.88,5.9,64.0
2025-12-30T01:30:00,APT_102,cuisine,False,True,18.0,53.1,,23.42,7.61,315.56,5.9,64.0
2025-12-30T01:30:00,APT_102,salon,False,True,18.0,47.5,606.0,21.97,0.71,294.51,5.9,64.0
2025-12-30T01:30:00,APT_102,sdb,False,True,18.1,50.7,,22.47,0.7,305.68,5.9,64.0
2025-12-30T01:40:00,APT_102,chambre,False,True,18.0,51.5,,22.04,0.74,329.52,6.0,63.4
2025-12-30T01:40:00,APT_102,cuisine,False,True,18.0,53.9,,24.13,7.27,317.53,6.0,63.4
2025-12-30T01:40:00,APT_102,salon,False,True,17.9,47.9,611.0,23.34,0.7,300.7,6.0,63.4
2025-12-30T01:40:00,APT_102,sdb,False,True,18.0,50.7,,23.09,0.7,309.81,6.0,63.4
2025-12-30T01:50:00,APT_102,chambre,False,True,18.0,52.0,,22.07,0.72,335.41,6.2,62.7
2025-12-30T01:50:00,APT_102,cuisine,False,True,18.0,54.6,,25.2,6.93,318.25,6.2,62.7
2025-12-30T01:50:00,APT_102,salon,False,True,17.8,48.0,613.0,24.63,0.7,307.1,6.2,62.7
2025-12-30T01:50:00,APT_102,sdb,False,True,18.0,50.6,,24.17,0.7,314.39,6.2,62.7
2025-12-30T02:00:00,APT_102,chambre,False,True,18.0,51.1,,23.11,0.72,339.2,6.6,63.5
2025-12-30T02:00:00,APT_102,cuisine,False,True,18.0,54.3,,25.33,6.62,319.96,6.6,63.5
2025-12-30T02:00:00,APT_102,salon,False,True,17.9,47.3,619.0,24.58,0.7,313.0,6.6,63.5
2025-12-30T02:00:00,APT_102,sdb,False,True,18.1,50.1,,24.97,0.68,323.85,6.6,63.5
2025-12-30T02:10:00,APT_102,chambre,False,True,17.9,51.5,,22.95,0.71,343.69,6.5,65.0
2025-12-30T02:10:00,APT_102,cuisine,False,True,17.9,54.4,,25.28,18.76,323.32,6.5,65.0
2025-12-30T02:10:00,APT_102,salon,False,True,17.8,46.4,625.0,25.29,0.69,315.01,6.5,65.0
2025-12-30T02:10:00,APT_102,sdb,False,True,18.0,50.4,,25.13,0.66,326.08,6.5,65.0
2025-12-30T02:20:00,APT_102,chambre,False,True,17.8,50.9,,24.07,0.72,343.6,6.1,66.6
2025-12-30T02:20:00,APT_102,cuisine,False,True,17.9,54.7,,25.97,17.87,331.34,6.1,66.6
2025-12-30T02:20:00,APT_102,salon,False,True,17.7,45.8,629.0,25.76,0.69,317.81,6.1,66.6
2025-12-30T02:20:00,APT_102,sdb,False,True,18.1,51.3,,25.78,0.64,331.46,6.1,66.6
2025-12-30T02:30:00,APT_102,chambre,False,True,17.9,50.3,,25.01,0.72,347.23,6.5,65.1
2025-12-30T02:30:00,APT_102,cuisine,False,True,17.9,54.8,,26.02,17.02,336.14,6.5,65.1
2025-12-30T02:30:00,APT_102,salon,False,True,17.6,45.6,635.0,26.76,0.7,324.83,6.5,65.1
2025-12-30T02:30:00,APT_102,sdb,False,True,18.0,50.4,,26.3,0.65,332.39,6.5,65.1
2025-12-30T02:40:00,APT_102,chambre,False,True,17.9,51.1,,25.84,0.71,346.77,6.6,63.3
2025-12-30T02:40:00,APT_102,cuisine,False,True,17.9,54.6,,26.86,16.22,344.35,6.6,63.3
2025-12-30T02:40:00,APT_102,salon,False,True,17.7,46.0,642.0,27.4,0.71,330.97,6.6,63.3
2025-12-30T02:40:00,APT_102,sdb,False,True,18.0,51.1,,26.5,0.67,336.23,6.6,63.3
2025-12-30T02:50:00,APT_102,chambre,False,True,17.8,52.0,,26.58,0.72,346.87,6.2,64.2
2025-12-30T02:50:00,APT_102,cuisine,False,True,17.8,54.8,,27.66,15.44,352.76,6.2,64.2
2025-12-30T02:50:00,APT_102,salon,False,True,17.8,45.7,643.0,27.93,0.7,333.6,6.2,64.2
2025-12-30T02:50:00,APT_102,sdb,False,True,18.0,51.5,,26.53,0.67,343.25,6.2,64.2
2025-12-30T03:00:00,APT_102,chambre,False,True,17.8,52.1,,27.48,0.71,353.92,6.6,61.8
2025-12-30T03:00:00,APT_102,cuisine,False,True,17.9,55.3,,27.46,14.71,353.27,6.6,61.8
2025-12-30T03:00:00,APT_102,salon,False,True,17.8,45.0,644.0,28.48,0.7,336.2,6.6,61.8
