timestamp,temperature,humidity
2025-12-03T00:00:00,6.1,63.9
2025-12-03T00:10:00,6.0,64.3
2025-12-03T00:20:00,6.1,66.6
2025-12-03T00:30:00,6.2,63.9
2025-12-03T00:40:00,6.0,63.7
2025-12-03T00:50:00,5.8,64.8
2025-12-03T01:00:00,6.2,64.0
2025-12-03T01:10:00,6.1,64.8
2025-12-03T01:20:00,6.4,63.0
2025-12-03T01:30:00,6.4,63.4
2025-12-03T01:40:00,6.4,65.0
2025-12-03T01:50:00,6.0,63.3
2025-12-03T02:00:00,6.1,65.7
2025-12-03T02:10:00,6.1,63.7
2025-12-03T02:20:00,6.5,62.7
2025-12-03T02:30:00,6.3,65.8
2025-12-03T02:40:00,6.4,64.4
2025-12-03T02:50:00,6.4,62.8
2025-12-03T03:00:00,6.6,62.4
2025-12-03T03:10:00,6.7,63.1
2025-12-03T03:20:00,6.2,64.8
2025-12-03T03:30:00,6.8,63.8
2025-12-03T03:40:00,6.8,63.5
2025-12-03T03:50:00,6.3,66.0
2025-12-03T04:00:00,6.6,62.2
2025-12-03T04:10:00,6.4,63.2
2025-12-03T04:20:00,6.9,64.9
2025-12-03T04:30:00,6.8,63.6
2025-12-03T04:40:00,6.6,65.6
2025-12-03T04:50:00,6.6,63.1
2025-12-03T05:00:00,6.8,65.2
2025-12-03T05:10:00,6.8,61.4
2025-12-03T05:20:00,6.9,63.2
2025-12-03T05:30:00,7.0,62.4
2025-12-03T05:40:00,6.9,64.4
2025-12-03T05:50:00,6.9,63.4
2025-12-03T06:00:00,7.2,61.4
2025-12-03T06:10:00,7.0,61.1
2025-12-03T06:20:00,7.0,61.6
2025-12-03T06:30:00,6.9,64.9
2025-12-03T06:40:00,7.3,61.1
2025-12-03T06:50:00,7.3,64.3
2025-12-03T07:00:00,7.0,62.6
2025-12-03T07:10:00,6.8,64.0
2025-12-03T07:20:00,7.0,61.7
2025-12-03T07:30:00,6.7,63.9
2025-12-03T07:40:00,6.9,65.2
2025-12-03T07:50:00,7.1,63.6
2025-12-03T08:00:00,7.6,61.4
2025-12-03T08:10:00,7.7,60.3
2025-12-03T08:20:00,7.9,62.0
2025-12-03T08:30:00,7.6,63.7
2025-12-03T08:40:00,8.1,60.6
2025-12-03T08:50:00,7.9,60.5
2025-12-03T09:00:00,8.4,59.9
2025-12-03T09:10:00,8.8,60.7
2025-12-03T09:20:00,8.4,58.7
2025-12-03T09:30:00,8.7,58.6
2025-12-03T09:40:00,8.7,58.4
2025-12-03T09:50:00,8.8,58.2
2025-12-03T10:00:00,9.8,55.6
2025-12-03T10:10:00,9.6,57.2
2025-12-03T10:20:00,9.7,55.6
2025-12-03T10:30:00,9.4,57.6
2025-12-03T10:40:00,9.5,59.0
2025-12-03T10:50:00,9.6,59.4
2025-12-03T11:00:00,10.3,57.0
2025-12-03T11:10:00,10.3,57.9
2025-12-03T11:20:00,10.3,56.7
2025-12-03T11:30:00,10.7,56.1
2025-12-03T11:40:00,10.6,54.2
2025-12-03T11:50:00,10.5,54.5
2025-12-03T12:00:00,11.4,55.3
2025-12-03T12:10:00,11.1,55.1
2025-12-03T12:20:00,11.2,55.2
2025-12-03T12:30:00,11.5,54.2
2025-12-03T12:40:00,11.5,52.4
2025-12-03T12:50:00,11.1,56.3
2025-12-03T13:00:00,12.1,53.4
2025-12-03T13:10:00,12.2,51.6
2025-12-03T13:20:00,11.9,54.6
2025-12-03T13:30:00,12.2,54.2
2025-12-03T13:40:00,12.0,53.4
2025-12-03T13:50:00,12.2,54.2
2025-12-03T14:00:00,13.1,52.8
2025-12-03T14:10:00,13.4,50.2
2025-12-03T14:20:00,13.1,52.2
2025-12-03T14:30:00,13.1,50.0
2025-12-03T14:40:00,13.2,51.5
2025-12-03T14:50:00,12.8,51.3
