timestamp,apartment_id,room,window_open,presence,temperature,humidity,co2,pm25,co,tvoc,temp_ext,humidity_ext
2025-12-27T00:00:00,APT_102,chambre,False,True,18.8,49.9,,15.96,0.78,256.51,5.9,64.3
2025-12-27T00:00:00,APT_102,cuisine,False,True,18.8,50.0,,15.83,0.8,260.78,5.9,64.3
2025-12-27T00:00:00,APT_102,salon,False,True,18.8,49.4,558.0,15.68,0.78,255.47,5.9,64.3
2025-12-27T00:00:00,APT_102,sdb,False,True,18.9,50.4,,15.85,0.79,252.01,5.9,64.3
2025-12-27T00:10:00,APT_102,chambre,False,True,18.7,50.2,,16.57,0.78,261.94,5.9,64.0
2025-12-27T00:10:00,APT_102,cuisine,False,True,18.7,50.0,,16.54,0.81,265.33,5.9,64.0
2025-12-27T00:10:00,APT_102,salon,False,True,18.6,50.4,566.0,16.69,0.76,262.95,5.9,64.0
2025-12-27T00:10:00,APT_102,sdb,False,True,18.8,50.0,,16.96,0.77,260.99,5.9,64.0
2025-12-27T00:20:00,APT_102,chambre,False,True,18.6,49.9,,17.42,0.76,271.41,5.8,64.8
2025-12-27T00:20:00,APT_102,cuisine,False,True,18.5,50.3,,16.97,0.82,266.49,5.8,64.8
2025-12-27T00:20:00,APT_102,salon,False,True,18.5,49.7,569.0,17.96,0.75,273.67,5.8,64.8
2025-12-27T00:20:00,APT_102,sdb,False,True,18.7,50.3,,17.72,0.75,271.95,5.8,64.8
2025-12-27T00:30:00,APT_102,chambre,False,True,18.4,49.5,,18.26,0.74,279.68,5.8,64.9
2025-12-27T00:30:00,APT_102,cuisine,False,True,18.3,50.6,,17.31,0.8,267.88,5.8,64.9
2025-12-27T00:30:00,APT_102,salon,False,True,18.3,50.7,572.0,18.21,0.74,283.96,5.8,64.9
2025-12-27T00:30:00,APT_102,sdb,False,True,18.6,49.4,,18.53,0.73,274.18,5.8,64.9
2025-12-27T00:40:00,APT_102,chambre,False,True,18.2,48.8,,19.31,0.73,281.65,5.8,66.9
2025-12-27T00:40:00,APT_102,cuisine,False,True,18.2,49.9,,18.01,0.8,271.22,5.8,66.9
2025-12-27T00:40:00,APT_102,salon,False,True,18.2,51.5,577.0,19.03,0.74,292.5,5.8,66.9
2025-12-27T00:40:00,APT_102,sdb,False,True,18.6,49.5,,19.61,0.72,279.63,5.8,66.9
2025-12-27T00:50:00,APT_102,chambre,False,True,18.2,48.3,,20.01,0.73,282.3,6.0,65.5
2025-12-27T00:50:00,APT_102,cuisine,False,True,18.2,50.0,,19.29,0.78,281.42,6.0,65.5
2025-12-27T00:50:00,APT_102,salon,False,True,18.1,51.8,582.0,19.55,0.72,298.96,6.0,65.5
2025-12-27T00:50:00,APT_102,sdb,False,True,18.5,49.8,,20.61,0.73,285.72,6.0,65.5
2025-12-27T01:00:00,APT_102,chambre,False,True,18.1,48.0,,20.26,0.72,284.13,6.2,66.0
2025-12-27T01:00:00,APT_102,cuisine,False,True,18.2,50.3,,20.11,0.78,283.72,6.2,66.0
2025-12-27T01:00:00,APT_102,salon,False,True,18.1,52.2,589.0,19.58,0.71,303.88,6.2,66.0
2025-12-27T01:00:00,APT_102,sdb,False,True,18.4,49.0,,20.51,0.74,291.89,6.2,66.0
2025-12-27T01:10:00,APT_102,chambre,False,True,18.1,48.0,,21.51,0.72,289.83,6.1,65.9
2025-12-27T01:10:00,APT_102,cuisine,False,True,18.1,50.8,,20.67,0.77,288.58,6.1,65.9
2025-12-27T01:10:00,APT_102,salon,False,True,18.1,52.8,597.0,20.41,0.69,308.28,6.1,65.9
2025-12-27T01:10:00,APT_102,sdb,False,True,18.3,48.4,,21.18,0.73,296.75,6.1,65.9
2025-12-27T01:20:00,APT_102,chambre,False,True,18.0,47.3,,21.91,0.73,299.65,5.9,64.7
2025-12-27T01:20:00,APT_102,cuisine,False,True,18.1,51.2,,20.78,0.76,290.29,5.9,64.7
2025-12-27T01:20:00,APT_102,salon,False,True,18.0,52.1,601.0,20.9,0.69,314.47,5.9,64.7
2025-12-27T01:20:00,APT_102,sdb,False,True,18.2,49.3,,21.97,0.73,306.81,5.9,64.7
2025-12-27T01:30:00,APT_102,chambre,False,True,17.9,47.7,,21.97,0.74,308.37,6.0,64.5
2025-12-27T01:30:00,APT_102,cuisine,False,True,18.0,51.2,,21.45,0.77,299.27,6.0,64.5
2025-12-27T01:30:00,APT_102,salon,False,True,17.9,52.6,609.0,20.81,0.69,323.9,6.0,64.5
2025-12-27T01:30:00,APT_102,sdb,False,True,18.1,50.0,,22.26,0.73,314.43,6.0,64.5
2025-12-27T01:40:00,APT_102,chambre,False,True,17.8,47.7,,22.29,0.74,314.67,6.4,63.3
2025-12-27T01:40:00,APT_102,cuisine,False,True,17.9,50.6,,21.61,0.76,301.81,6.4,63.3
2025-12-27T01:40:00,APT_102,salon,False,True,17.9,53.2,614.0,21.97,0.69,325.9,6.4,63.3
2025-12-27T01:40:00,APT_102,sdb,False,True,18.0,49.9,,23.05,0.74,318.59,6.4,63.3
2025-12-27T01:50:00,APT_102,chambre,False,True,17.7,48.6,,22.72,0.73,316.26,6.3,64.5
2025-12-27T01:50:00,APT_102,cuisine,False,True,17.9,51.2,,22.29,0.77,307.74,6.3,64.5
2025-12-27T01:50:00,APT_102,salon,False,True,17.8,53.1,615.0,22.24,0.7,334.28,6.3,64.5
2025-12-27T01:50:00,APT_102,sdb,False,True,18.0,50.4,,23.53,0.75,321.82,6.3,64.5
2025-12-27T02:00:00,APT_102,chambre,False,True,17.7,48.8,,23.28,0.73,324.89,6.6,64.3
2025-12-27T02:00:00,APT_102,cuisine,False,True,17.8,51.1,,22.58,0.76,312.72,6.6,64.3
2025-12-27T02:00:00,APT_102,salon,False,True,17.7,53.4,620.0,23.13,0.68,337.42,6.6,64.3
2025-12-27T02:00:00,APT_102,sdb,False,True,18.0,50.9,,23.55,0.73,324.69,6.6,64.3
2025-12-27T02:10:00,APT_102,chambre,False,True,17.7,49.2,,24.08,0.74,330.86,6.6,64.7
2025-12-27T02:10:00,APT_102,cuisine,False,True,17.9,51.4,,22.56,0.74,320.56,6.6,64.7
2025-12-27T02:10:00,APT_102,salon,False,True,17.6,52.6,627.0,24.28,0.69,338.14,6.6,64.7
2025-12-27T02:10:00,APT_102,sdb,False,True,18.0,50.1,,23.56,0.72,330.24,6.6,64.7
2025-12-27T02:20:00,APT_102,chambre,False,True,17.6,49.8,,24.77,0.73,332.65,6.1,66.3
2025-12-27T02:20:00,APT_102,cuisine,False,True,18.0,50.5,,22.84,0.72,322.78,6.1,66.3
2025-12-27T02:20:00,APT_102,salon,False,True,17.7,52.3,632.0,24.11,0.67,340.63,6.1,66.3
2025-12-27T02:20:00,APT_102,sdb,False,True,18.0,50.4,,24.02,0.73,339.08,6.1,66.3
2025-12-27T02:30:00,APT_102,chambre,False,True,17.7,49.8,,24.7,0.72,341.02,6.3,62.7
2025-12-27T02:30:00,APT_102,cuisine,False,True,17.9,50.8,,23.99,0.71,331.38,6.3,62.7
2025-12-27T02:30:00,APT_102,salon,False,True,17.6,51.6,638.0,25.31,0.68,346.17,6.3,62.7
2025-12-27T02:30:00,APT_102,sdb,False,True,18.0,49.8,,24.5,0.71,345.16,6.3,62.7
2025-12-27T02:40:00,APT_102,chambre,False,True,17.7,49.7,,24.86,0.71,342.29,6.5,62.8
2025-12-27T02:40:00,APT_102,cuisine,False,True,17.8,49.9,,24.54,0.72,333.28,6.5,62.8
2025-12-27T02:40:00,APT_102,salon,False,True,17.5,52.2,644.0,25.79,0.66,352.22,6.5,62.8
2025-12-27T02:40:00,APT_102,sdb,False,True,17.9,49.2,,24.28,0.69,347.73,6.5,62.8
2025-12-27T02:50:00,APT_102,chambre,False,True,17.6,49.4,,25.13,0.71,350.41,6.2,63.9
2025-12-27T02:50:00,APT_102,cuisine,False,True,17.7,50.9,,24.35,0.73,338.28,6.2,63.9
2025-12-27T02:50:00,APT_102,salon,False,True,17.4,52.5,650.0,26.36,0.66,357.75,6.2,63.9
2025-12-27T02:50:00,APT_102,sdb,False,True,17.9,49.2,,25.2,0.68,354.25,6.2,63.9
2025-12-27T03:00:00,APT_102,chambre,False,True,17.6,48.7,,25.82,0.72,356.81,6.5,62.6
2025-12-27T03:00:00,APT_102,cuisine,False,True,17.7,50.1,,24.36,0.73,344.09,6.5,62.6
2025-12-27T03:00:00,APT_102,salon,False,True,17.4,52.7,651.0,26.25,0.68,365.54,6.5,62.6
2025-12-27T03:00:00,APT_102,sdb,False,True,17.8,48.3,,25.58,0.66,360.47,6.5,62.6
2025-12-27T03:10:00,APT_102,chambre,False,True,17.6,49.1,,26.12,0.72,362.56,6.7,62.9
2025-12-27T03:10:00,APT_102,cuisine,False,True,17.8,49.6,,24.49,0.72,344.16,6.7,62.9
2025-12-27T03:10:00,APT_102,salon,False,True,17.5,52.5,653.0,27.27,0.68,368.77,6.7,62.9
2025-12-27T03:10:00,APT_102,sdb,False,True,17.8,47.7,,25.37,0.64,369.26,6.7,62.9
2025-12-27T03:20:00,APT_102,chambre,False,True,17.5,49.7,,26.01,0.72,365.46,6.3,66.3
2025-12-27T03:20:00,APT_102,cuisine,False,True,17.7,49.8,,24.22,0.73,345.97,6.3,66.3
2025-12-27T03:20:00,APT_102,salon,False,True,17.6,52.4,654.0,27.6,0.68,376.4,6.3,66.3
2025-12-27T03:20:00,APT_102,sdb,False,True,17.8,48.0,,26.11,0.65,377.37,6.3,66.3
2025-12-27T03:30:00,APT_102,chambre,False,True,17.4,49.5,,25.82,0.72,364.78,6.3,64.4
2025-12-27T03:30:00,APT_102,cuisine,False,True,17.6,50.1,,25.37,0.71,347.13,6.3,64.4
2025-12-27T03:30:00,APT_102,salon,False,True,17.7,51.8,659.0,27.22,0.69,378.92,6.3,64.4
2025-12-27T03:30:00,APT_102,sdb,False,True,17.7,47.9,,25.96,0.63,378.64,6.3,64.4
2025-12-27T03:40:00,APT_102,chambre,False,True,17.4,49.8,,26.28,0.73,365.35,6.4,63.1
2025-12-27T03:40:00,APT_102,cuisine,False,True,17.6,50.4,,25.3,0.72,350.85,6.4,63.1
2025-12-27T03:40:00,APT_102,salon,False,True,17.6,51.4,663.0,28.01,0.69,379.29,6.4,63.1
2025-12-27T03:40:00,APT_102,sdb,False,True,17.7,47.1,,25.82,0.63,383.74,6.4,63.1
